NamaProduk,NamaWilayah,Tanggal,Jumlah,TotalPenjualan,Negara
Hair Dryer,George Town,9/26/2023,20,1181920,Malaysia
Hair Dryer,George Town,9/26/2023,20,1181920,Malaysia
Hair Dryer,George Town,9/26/2023,20,1181920,Malaysia
Heater,Kota Kinabalu,2/14/2023,3,48606,Malaysia
Heater,Kota Kinabalu,2/14/2023,3,48606,Malaysia
Heater,Kota Kinabalu,2/14/2023,3,48606,Malaysia
Carpet,Denpasar,9/22/2023,8,636944,Indonesia
Carpet,Denpasar,9/22/2023,8,636944,Indonesia
Carpet,Denpasar,9/22/2023,8,636944,Indonesia
Carpet,Denpasar,9/22/2023,8,636944,Indonesia
Carpet,Denpasar,9/22/2023,8,636944,Indonesia
Carpet,Denpasar,9/22/2023,8,636944,Indonesia
Blender,Kuantan,1/3/2023,15,968475,Malaysia
Blender,Kuantan,1/3/2023,15,968475,Malaysia
Blender,Kuantan,1/3/2023,15,968475,Malaysia
Air Purifier,Denpasar,6/28/2024,9,857493,Indonesia
Air Purifier,Denpasar,6/28/2024,9,857493,Indonesia
Air Purifier,Denpasar,6/28/2024,9,857493,Indonesia
Air Purifier,Denpasar,6/28/2024,9,857493,Indonesia
Air Purifier,Denpasar,6/28/2024,9,857493,Indonesia
Air Purifier,Denpasar,6/28/2024,9,857493,Indonesia
Water Dispenser,Ipoh,3/30/2023,7,248563,Malaysia
Water Dispenser,Ipoh,3/30/2023,7,248563,Malaysia
Water Dispenser,Ipoh,3/30/2023,7,248563,Malaysia
Water Dispenser,Ipoh,3/30/2023,7,248563,Malaysia
Water Dispenser,Ipoh,3/30/2023,7,248563,Malaysia
Hair Dryer,Ipoh,6/6/2023,7,135079,Malaysia
Hair Dryer,Ipoh,6/6/2023,7,135079,Malaysia
Hair Dryer,Ipoh,6/6/2023,7,135079,Malaysia
Hair Dryer,Ipoh,6/6/2023,7,135079,Malaysia
Hair Dryer,Ipoh,6/6/2023,7,135079,Malaysia
Chair,Balikpapan,5/25/2024,13,1173263,Indonesia
Chair,Balikpapan,5/25/2024,13,1173263,Indonesia
Chair,Balikpapan,5/25/2024,13,1173263,Indonesia
Chair,Balikpapan,5/25/2024,13,1173263,Indonesia
Washing Machine,Johor Bahru,6/25/2024,1,66025,Malaysia
Washing Machine,Johor Bahru,6/25/2024,1,66025,Malaysia
Chair,Central Region,8/21/2023,20,876440,Singapura
Chair,Central Region,8/21/2023,20,876440,Singapura
Chair,Central Region,8/21/2023,20,876440,Singapura
Chair,Central Region,8/21/2023,20,876440,Singapura
Chair,Central Region,8/21/2023,20,876440,Singapura
Chair,Central Region,8/21/2023,20,876440,Singapura
Vacuum Cleaner,Ipoh,3/15/2024,17,802944,Malaysia
Vacuum Cleaner,Ipoh,3/15/2024,17,802944,Malaysia
Vacuum Cleaner,Ipoh,3/15/2024,17,802944,Malaysia
Vacuum Cleaner,Ipoh,3/15/2024,17,802944,Malaysia
Vacuum Cleaner,Ipoh,3/15/2024,17,802944,Malaysia
Vacuum Cleaner,Kuantan,5/5/2023,15,456975,Malaysia
Vacuum Cleaner,Kuantan,5/5/2023,15,456975,Malaysia
Vacuum Cleaner,Kuantan,5/5/2023,15,456975,Malaysia
Sofa,Semarang,3/17/2024,10,274890,Indonesia
Sofa,Semarang,3/17/2024,10,274890,Indonesia
Sofa,Semarang,3/17/2024,10,274890,Indonesia
Sofa,Semarang,3/17/2024,10,274890,Indonesia
Sofa,Semarang,3/17/2024,10,274890,Indonesia
Rice Cooker,Kuala Lumpur,8/1/2023,2,48608,Malaysia
Rice Cooker,Kuala Lumpur,8/1/2023,2,48608,Malaysia
Rice Cooker,Kuala Lumpur,8/1/2023,2,48608,Malaysia
Rice Cooker,Kuala Lumpur,8/1/2023,2,48608,Malaysia
Mixer,Jakarta,1/22/2023,1,74369,Indonesia
Mixer,Jakarta,1/22/2023,1,74369,Indonesia
Mixer,Jakarta,1/22/2023,1,74369,Indonesia
Mixer,Jakarta,1/22/2023,1,74369,Indonesia
Mixer,Jakarta,1/22/2023,1,74369,Indonesia
Blender,North Region,5/25/2023,9,162297,Singapura
Blender,North Region,5/25/2023,9,162297,Singapura
Blender,North Region,5/25/2023,9,162297,Singapura
Blender,North Region,5/25/2023,9,162297,Singapura
Blender,North Region,5/25/2023,9,162297,Singapura
Table,Medan,10/30/2023,14,73934,Indonesia
Table,Medan,10/30/2023,14,73934,Indonesia
Table,Medan,10/30/2023,14,73934,Indonesia
Table,Medan,10/30/2023,14,73934,Indonesia
Table,Medan,10/30/2023,14,73934,Indonesia
Washing Machine,Makassar,6/14/2023,16,1394656,Indonesia
Washing Machine,Makassar,6/14/2023,16,1394656,Indonesia
Iron,George Town,7/4/2023,12,948468,Malaysia
Iron,George Town,7/4/2023,12,948468,Malaysia
Iron,George Town,7/4/2023,12,948468,Malaysia
Iron,George Town,7/4/2023,12,948468,Malaysia
Lamp,Central Region,10/7/2024,1,55630,Singapura
Lamp,Central Region,10/7/2024,1,55630,Singapura
Lamp,Central Region,10/7/2024,1,55630,Singapura
Lamp,Central Region,10/7/2024,1,55630,Singapura
Lamp,Central Region,10/7/2024,1,55630,Singapura
Lamp,Central Region,10/7/2024,1,55630,Singapura
Iron,Medan,1/16/2024,3,152277,Indonesia
Iron,Medan,1/16/2024,3,152277,Indonesia
Iron,Medan,1/16/2024,3,152277,Indonesia
Iron,Medan,1/16/2024,3,152277,Indonesia
Iron,Medan,1/16/2024,3,152277,Indonesia
Washing Machine,Kuching,8/1/2024,11,910778,Malaysia
Washing Machine,Kuching,8/1/2024,11,910778,Malaysia
Washing Machine,Kuching,8/1/2024,11,910778,Malaysia
Washing Machine,Kuching,8/1/2024,11,910778,Malaysia
Hair Dryer,Balikpapan,12/9/2023,7,668080,Indonesia
Hair Dryer,Balikpapan,12/9/2023,7,668080,Indonesia
Hair Dryer,Balikpapan,12/9/2023,7,668080,Indonesia
Hair Dryer,Balikpapan,12/9/2023,7,668080,Indonesia
Electric Kettle,North Region,11/1/2023,17,1449641,Singapura
Electric Kettle,North Region,11/1/2023,17,1449641,Singapura
Electric Kettle,North Region,11/1/2023,17,1449641,Singapura
Electric Kettle,North Region,11/1/2023,17,1449641,Singapura
Electric Kettle,North Region,11/1/2023,17,1449641,Singapura
Electric Kettle,East Region,5/25/2024,9,725652,Singapura
Electric Kettle,East Region,5/25/2024,9,725652,Singapura
Electric Kettle,East Region,5/25/2024,9,725652,Singapura
Electric Kettle,East Region,5/25/2024,9,725652,Singapura
Electric Kettle,East Region,5/25/2024,9,725652,Singapura
Mixer,East Region,6/9/2023,1,43157,Singapura
Mixer,East Region,6/9/2023,1,43157,Singapura
Mixer,East Region,6/9/2023,1,43157,Singapura
Mixer,East Region,6/9/2023,1,43157,Singapura
Mixer,East Region,6/9/2023,1,43157,Singapura
Vacuum Cleaner,Kota Kinabalu,1/30/2023,2,163342,Malaysia
Vacuum Cleaner,Kota Kinabalu,1/30/2023,2,163342,Malaysia
Vacuum Cleaner,Kota Kinabalu,1/30/2023,2,163342,Malaysia
Mixer,North-East Region,10/30/2023,14,101500,Singapura
Mixer,North-East Region,10/30/2023,14,101500,Singapura
Mixer,North-East Region,10/30/2023,14,101500,Singapura
Mixer,North-East Region,10/30/2023,14,101500,Singapura
Mixer,North-East Region,10/30/2023,14,101500,Singapura
Mixer,North-East Region,10/30/2023,14,101500,Singapura
Mixer,North-East Region,10/30/2023,14,101500,Singapura
Mixer,North-East Region,10/30/2023,14,101500,Singapura
Mixer,North-East Region,10/30/2023,14,101500,Singapura
Mixer,North-East Region,10/30/2023,14,101500,Singapura
Fan,Ipoh,12/3/2023,4,353444,Malaysia
Fan,Ipoh,12/3/2023,4,353444,Malaysia
Fan,Ipoh,12/3/2023,4,353444,Malaysia
Fan,Ipoh,12/3/2023,4,353444,Malaysia
Fan,Ipoh,12/3/2023,4,353444,Malaysia
Coffee Maker,Medan,2/5/2023,3,121527,Indonesia
Coffee Maker,Medan,2/5/2023,3,121527,Indonesia
Coffee Maker,Medan,2/5/2023,3,121527,Indonesia
Coffee Maker,Medan,2/5/2023,3,121527,Indonesia
Coffee Maker,Medan,2/5/2023,3,121527,Indonesia
Sofa,North-East Region,7/15/2023,17,1087405,Singapura
Sofa,North-East Region,7/15/2023,17,1087405,Singapura
Sofa,North-East Region,7/15/2023,17,1087405,Singapura
Sofa,North-East Region,7/15/2023,17,1087405,Singapura
Sofa,North-East Region,7/15/2023,17,1087405,Singapura
Sofa,North-East Region,7/15/2023,17,1087405,Singapura
Sofa,North-East Region,7/15/2023,17,1087405,Singapura
Sofa,North-East Region,7/15/2023,17,1087405,Singapura
Sofa,North-East Region,7/15/2023,17,1087405,Singapura
Sofa,North-East Region,7/15/2023,17,1087405,Singapura
Rice Cooker,Makassar,6/28/2024,3,170976,Indonesia
Rice Cooker,Makassar,6/28/2024,3,170976,Indonesia
Grill,North-East Region,7/18/2024,11,295493,Singapura
Grill,North-East Region,7/18/2024,11,295493,Singapura
Grill,North-East Region,7/18/2024,11,295493,Singapura
Grill,North-East Region,7/18/2024,11,295493,Singapura
Grill,North-East Region,7/18/2024,11,295493,Singapura
Grill,North-East Region,7/18/2024,11,295493,Singapura
Grill,North-East Region,7/18/2024,11,295493,Singapura
Grill,North-East Region,7/18/2024,11,295493,Singapura
Grill,North-East Region,7/18/2024,11,295493,Singapura
Grill,North-East Region,7/18/2024,11,295493,Singapura
Air Purifier,East Region,9/16/2023,1,51714,Singapura
Air Purifier,East Region,9/16/2023,1,51714,Singapura
Air Purifier,East Region,9/16/2023,1,51714,Singapura
Air Purifier,East Region,9/16/2023,1,51714,Singapura
Air Purifier,East Region,9/16/2023,1,51714,Singapura
Blender,Alor Setar,9/5/2024,1,38932,Malaysia
Blender,Alor Setar,9/5/2024,1,38932,Malaysia
Blender,Alor Setar,9/5/2024,1,38932,Malaysia
Curtains,Semarang,8/11/2024,3,62043,Indonesia
Curtains,Semarang,8/11/2024,3,62043,Indonesia
Curtains,Semarang,8/11/2024,3,62043,Indonesia
Curtains,Semarang,8/11/2024,3,62043,Indonesia
Curtains,Semarang,8/11/2024,3,62043,Indonesia
Curtains,North-East Region,11/6/2023,13,854139,Singapura
Curtains,North-East Region,11/6/2023,13,854139,Singapura
Curtains,North-East Region,11/6/2023,13,854139,Singapura
Curtains,North-East Region,11/6/2023,13,854139,Singapura
Curtains,North-East Region,11/6/2023,13,854139,Singapura
Curtains,North-East Region,11/6/2023,13,854139,Singapura
Curtains,North-East Region,11/6/2023,13,854139,Singapura
Curtains,North-East Region,11/6/2023,13,854139,Singapura
Curtains,North-East Region,11/6/2023,13,854139,Singapura
Curtains,North-East Region,11/6/2023,13,854139,Singapura
Heater,Ipoh,10/6/2023,14,1034180,Malaysia
Heater,Ipoh,10/6/2023,14,1034180,Malaysia
Heater,Ipoh,10/6/2023,14,1034180,Malaysia
Heater,Ipoh,10/6/2023,14,1034180,Malaysia
Heater,Ipoh,10/6/2023,14,1034180,Malaysia
Coffee Maker,Kuantan,4/3/2023,13,527293,Malaysia
Coffee Maker,Kuantan,4/3/2023,13,527293,Malaysia
Coffee Maker,Kuantan,4/3/2023,13,527293,Malaysia
Coffee Maker,Kuala Lumpur,12/24/2023,17,350506,Malaysia
Coffee Maker,Kuala Lumpur,12/24/2023,17,350506,Malaysia
Coffee Maker,Kuala Lumpur,12/24/2023,17,350506,Malaysia
Coffee Maker,Kuala Lumpur,12/24/2023,17,350506,Malaysia
Toaster,Kota Kinabalu,9/19/2023,20,1357360,Malaysia
Toaster,Kota Kinabalu,9/19/2023,20,1357360,Malaysia
Toaster,Kota Kinabalu,9/19/2023,20,1357360,Malaysia
Mixer,Medan,9/19/2023,18,1091898,Indonesia
Mixer,Medan,9/19/2023,18,1091898,Indonesia
Mixer,Medan,9/19/2023,18,1091898,Indonesia
Mixer,Medan,9/19/2023,18,1091898,Indonesia
Mixer,Medan,9/19/2023,18,1091898,Indonesia
Microwave Oven,Johor Bahru,6/16/2024,4,171636,Malaysia
Microwave Oven,Johor Bahru,6/16/2024,4,171636,Malaysia
Coffee Maker,Semarang,8/1/2023,20,1690360,Indonesia
Coffee Maker,Semarang,8/1/2023,20,1690360,Indonesia
Coffee Maker,Semarang,8/1/2023,20,1690360,Indonesia
Coffee Maker,Semarang,8/1/2023,20,1690360,Indonesia
Coffee Maker,Semarang,8/1/2023,20,1690360,Indonesia
Carpet,Ipoh,6/4/2024,9,56376,Malaysia
Carpet,Ipoh,6/4/2024,9,56376,Malaysia
Carpet,Ipoh,6/4/2024,9,56376,Malaysia
Carpet,Ipoh,6/4/2024,9,56376,Malaysia
Carpet,Ipoh,6/4/2024,9,56376,Malaysia
Curtains,Kuala Lumpur,3/25/2024,17,1180769,Malaysia
Curtains,Kuala Lumpur,3/25/2024,17,1180769,Malaysia
Curtains,Kuala Lumpur,3/25/2024,17,1180769,Malaysia
Curtains,Kuala Lumpur,3/25/2024,17,1180769,Malaysia
Table,Kuantan,8/12/2023,7,362852,Malaysia
Table,Kuantan,8/12/2023,7,362852,Malaysia
Table,Kuantan,8/12/2023,7,362852,Malaysia
Curtains,Ipoh,5/16/2023,5,60935,Malaysia
Curtains,Ipoh,5/16/2023,5,60935,Malaysia
Curtains,Ipoh,5/16/2023,5,60935,Malaysia
Curtains,Ipoh,5/16/2023,5,60935,Malaysia
Curtains,Ipoh,5/16/2023,5,60935,Malaysia
Lamp,Central Region,11/27/2023,3,131829,Singapura
Lamp,Central Region,11/27/2023,3,131829,Singapura
Lamp,Central Region,11/27/2023,3,131829,Singapura
Lamp,Central Region,11/27/2023,3,131829,Singapura
Lamp,Central Region,11/27/2023,3,131829,Singapura
Lamp,Central Region,11/27/2023,3,131829,Singapura
Grill,Ipoh,1/6/2023,18,1430154,Malaysia
Grill,Ipoh,1/6/2023,18,1430154,Malaysia
Grill,Ipoh,1/6/2023,18,1430154,Malaysia
Grill,Ipoh,1/6/2023,18,1430154,Malaysia
Grill,Ipoh,1/6/2023,18,1430154,Malaysia
Rice Cooker,East Region,2/3/2024,6,36594,Singapura
Rice Cooker,East Region,2/3/2024,6,36594,Singapura
Rice Cooker,East Region,2/3/2024,6,36594,Singapura
Rice Cooker,East Region,2/3/2024,6,36594,Singapura
Rice Cooker,East Region,2/3/2024,6,36594,Singapura
Table,Medan,7/17/2023,16,403200,Indonesia
Table,Medan,7/17/2023,16,403200,Indonesia
Table,Medan,7/17/2023,16,403200,Indonesia
Table,Medan,7/17/2023,16,403200,Indonesia
Table,Medan,7/17/2023,16,403200,Indonesia
Coffee Maker,George Town,7/9/2024,8,95248,Malaysia
Coffee Maker,George Town,7/9/2024,8,95248,Malaysia
Coffee Maker,George Town,7/9/2024,8,95248,Malaysia
Coffee Maker,George Town,7/9/2024,8,95248,Malaysia
Heater,North Region,8/27/2023,14,1204728,Singapura
Heater,North Region,8/27/2023,14,1204728,Singapura
Heater,North Region,8/27/2023,14,1204728,Singapura
Heater,North Region,8/27/2023,14,1204728,Singapura
Heater,North Region,8/27/2023,14,1204728,Singapura
Rice Cooker,Denpasar,4/17/2024,9,768177,Indonesia
Rice Cooker,Denpasar,4/17/2024,9,768177,Indonesia
Rice Cooker,Denpasar,4/17/2024,9,768177,Indonesia
Rice Cooker,Denpasar,4/17/2024,9,768177,Indonesia
Rice Cooker,Denpasar,4/17/2024,9,768177,Indonesia
Rice Cooker,Denpasar,4/17/2024,9,768177,Indonesia
Washing Machine,Kota Kinabalu,2/19/2024,3,238542,Malaysia
Washing Machine,Kota Kinabalu,2/19/2024,3,238542,Malaysia
Washing Machine,Kota Kinabalu,2/19/2024,3,238542,Malaysia
Iron,Central Region,7/5/2024,5,251455,Singapura
Iron,Central Region,7/5/2024,5,251455,Singapura
Iron,Central Region,7/5/2024,5,251455,Singapura
Iron,Central Region,7/5/2024,5,251455,Singapura
Iron,Central Region,7/5/2024,5,251455,Singapura
Iron,Central Region,7/5/2024,5,251455,Singapura
Grill,Ipoh,1/5/2023,9,583497,Malaysia
Grill,Ipoh,1/5/2023,9,583497,Malaysia
Grill,Ipoh,1/5/2023,9,583497,Malaysia
Grill,Ipoh,1/5/2023,9,583497,Malaysia
Grill,Ipoh,1/5/2023,9,583497,Malaysia
Rice Cooker,Balikpapan,4/15/2024,5,142455,Indonesia
Rice Cooker,Balikpapan,4/15/2024,5,142455,Indonesia
Rice Cooker,Balikpapan,4/15/2024,5,142455,Indonesia
Rice Cooker,Balikpapan,4/15/2024,5,142455,Indonesia
Washing Machine,East Region,1/22/2023,11,984137,Singapura
Washing Machine,East Region,1/22/2023,11,984137,Singapura
Washing Machine,East Region,1/22/2023,11,984137,Singapura
Washing Machine,East Region,1/22/2023,11,984137,Singapura
Washing Machine,East Region,1/22/2023,11,984137,Singapura
Stove,East Region,4/4/2024,7,168826,Singapura
Stove,East Region,4/4/2024,7,168826,Singapura
Stove,East Region,4/4/2024,7,168826,Singapura
Stove,East Region,4/4/2024,7,168826,Singapura
Stove,East Region,4/4/2024,7,168826,Singapura
Water Dispenser,Denpasar,10/12/2024,20,710220,Indonesia
Water Dispenser,Denpasar,10/12/2024,20,710220,Indonesia
Water Dispenser,Denpasar,10/12/2024,20,710220,Indonesia
Water Dispenser,Denpasar,10/12/2024,20,710220,Indonesia
Water Dispenser,Denpasar,10/12/2024,20,710220,Indonesia
Water Dispenser,Denpasar,10/12/2024,20,710220,Indonesia
Vacuum Cleaner,Alor Setar,1/19/2024,1,86733,Malaysia
Vacuum Cleaner,Alor Setar,1/19/2024,1,86733,Malaysia
Vacuum Cleaner,Alor Setar,1/19/2024,1,86733,Malaysia
Microwave Oven,North-East Region,3/29/2024,3,103932,Singapura
Microwave Oven,North-East Region,3/29/2024,3,103932,Singapura
Microwave Oven,North-East Region,3/29/2024,3,103932,Singapura
Microwave Oven,North-East Region,3/29/2024,3,103932,Singapura
Microwave Oven,North-East Region,3/29/2024,3,103932,Singapura
Microwave Oven,North-East Region,3/29/2024,3,103932,Singapura
Microwave Oven,North-East Region,3/29/2024,3,103932,Singapura
Microwave Oven,North-East Region,3/29/2024,3,103932,Singapura
Microwave Oven,North-East Region,3/29/2024,3,103932,Singapura
Microwave Oven,North-East Region,3/29/2024,3,103932,Singapura
Sofa,Shah Alam,12/19/2023,12,1035384,Malaysia
Sofa,Shah Alam,12/19/2023,12,1035384,Malaysia
Stove,Medan,7/20/2024,19,1180090,Indonesia
Stove,Medan,7/20/2024,19,1180090,Indonesia
Stove,Medan,7/20/2024,19,1180090,Indonesia
Stove,Medan,7/20/2024,19,1180090,Indonesia
Stove,Medan,7/20/2024,19,1180090,Indonesia
Sofa,Balikpapan,1/4/2024,10,646990,Indonesia
Sofa,Balikpapan,1/4/2024,10,646990,Indonesia
Sofa,Balikpapan,1/4/2024,10,646990,Indonesia
Sofa,Balikpapan,1/4/2024,10,646990,Indonesia
Grill,North Region,7/24/2023,5,128315,Singapura
Grill,North Region,7/24/2023,5,128315,Singapura
Grill,North Region,7/24/2023,5,128315,Singapura
Grill,North Region,7/24/2023,5,128315,Singapura
Grill,North Region,7/24/2023,5,128315,Singapura
Hair Dryer,Denpasar,5/13/2023,7,620319,Indonesia
Hair Dryer,Denpasar,5/13/2023,7,620319,Indonesia
Hair Dryer,Denpasar,5/13/2023,7,620319,Indonesia
Hair Dryer,Denpasar,5/13/2023,7,620319,Indonesia
Hair Dryer,Denpasar,5/13/2023,7,620319,Indonesia
Hair Dryer,Denpasar,5/13/2023,7,620319,Indonesia
Toaster,Medan,5/2/2023,1,47680,Indonesia
Toaster,Medan,5/2/2023,1,47680,Indonesia
Toaster,Medan,5/2/2023,1,47680,Indonesia
Toaster,Medan,5/2/2023,1,47680,Indonesia
Toaster,Medan,5/2/2023,1,47680,Indonesia
Chair,Ipoh,4/9/2024,2,178004,Malaysia
Chair,Ipoh,4/9/2024,2,178004,Malaysia
Chair,Ipoh,4/9/2024,2,178004,Malaysia
Chair,Ipoh,4/9/2024,2,178004,Malaysia
Chair,Ipoh,4/9/2024,2,178004,Malaysia
Stove,Jakarta,6/15/2023,12,162288,Indonesia
Stove,Jakarta,6/15/2023,12,162288,Indonesia
Stove,Jakarta,6/15/2023,12,162288,Indonesia
Stove,Jakarta,6/15/2023,12,162288,Indonesia
Stove,Jakarta,6/15/2023,12,162288,Indonesia
Microwave Oven,Central Region,6/2/2024,4,295096,Singapura
Microwave Oven,Central Region,6/2/2024,4,295096,Singapura
Microwave Oven,Central Region,6/2/2024,4,295096,Singapura
Microwave Oven,Central Region,6/2/2024,4,295096,Singapura
Microwave Oven,Central Region,6/2/2024,4,295096,Singapura
Microwave Oven,Central Region,6/2/2024,4,295096,Singapura
Washing Machine,Balikpapan,3/18/2024,20,1486460,Indonesia
Washing Machine,Balikpapan,3/18/2024,20,1486460,Indonesia
Washing Machine,Balikpapan,3/18/2024,20,1486460,Indonesia
Washing Machine,Balikpapan,3/18/2024,20,1486460,Indonesia
Hair Dryer,Jakarta,10/17/2024,6,218016,Indonesia
Hair Dryer,Jakarta,10/17/2024,6,218016,Indonesia
Hair Dryer,Jakarta,10/17/2024,6,218016,Indonesia
Hair Dryer,Jakarta,10/17/2024,6,218016,Indonesia
Hair Dryer,Jakarta,10/17/2024,6,218016,Indonesia
Water Dispenser,Makassar,6/30/2024,11,624701,Indonesia
Water Dispenser,Makassar,6/30/2024,11,624701,Indonesia
Dishwasher,Johor Bahru,7/22/2023,9,324801,Malaysia
Dishwasher,Johor Bahru,7/22/2023,9,324801,Malaysia
Table,Jakarta,1/2/2024,11,885885,Indonesia
Table,Jakarta,1/2/2024,11,885885,Indonesia
Table,Jakarta,1/2/2024,11,885885,Indonesia
Table,Jakarta,1/2/2024,11,885885,Indonesia
Table,Jakarta,1/2/2024,11,885885,Indonesia
Table,Denpasar,3/1/2023,2,84304,Indonesia
Table,Denpasar,3/1/2023,2,84304,Indonesia
Table,Denpasar,3/1/2023,2,84304,Indonesia
Table,Denpasar,3/1/2023,2,84304,Indonesia
Table,Denpasar,3/1/2023,2,84304,Indonesia
Table,Denpasar,3/1/2023,2,84304,Indonesia
Electric Kettle,Alor Setar,4/27/2024,5,231280,Malaysia
Electric Kettle,Alor Setar,4/27/2024,5,231280,Malaysia
Electric Kettle,Alor Setar,4/27/2024,5,231280,Malaysia
Washing Machine,Denpasar,4/4/2023,6,340746,Indonesia
Washing Machine,Denpasar,4/4/2023,6,340746,Indonesia
Washing Machine,Denpasar,4/4/2023,6,340746,Indonesia
Washing Machine,Denpasar,4/4/2023,6,340746,Indonesia
Washing Machine,Denpasar,4/4/2023,6,340746,Indonesia
Washing Machine,Denpasar,4/4/2023,6,340746,Indonesia
Sofa,North-East Region,5/15/2023,13,1097174,Singapura
Sofa,North-East Region,5/15/2023,13,1097174,Singapura
Sofa,North-East Region,5/15/2023,13,1097174,Singapura
Sofa,North-East Region,5/15/2023,13,1097174,Singapura
Sofa,North-East Region,5/15/2023,13,1097174,Singapura
Sofa,North-East Region,5/15/2023,13,1097174,Singapura
Sofa,North-East Region,5/15/2023,13,1097174,Singapura
Sofa,North-East Region,5/15/2023,13,1097174,Singapura
Sofa,North-East Region,5/15/2023,13,1097174,Singapura
Sofa,North-East Region,5/15/2023,13,1097174,Singapura
Dishwasher,Denpasar,3/11/2023,19,879833,Indonesia
Dishwasher,Denpasar,3/11/2023,19,879833,Indonesia
Dishwasher,Denpasar,3/11/2023,19,879833,Indonesia
Dishwasher,Denpasar,3/11/2023,19,879833,Indonesia
Dishwasher,Denpasar,3/11/2023,19,879833,Indonesia
Dishwasher,Denpasar,3/11/2023,19,879833,Indonesia
Rice Cooker,Makassar,5/28/2024,5,103085,Indonesia
Rice Cooker,Makassar,5/28/2024,5,103085,Indonesia
Lamp,Semarang,4/29/2024,16,905632,Indonesia
Lamp,Semarang,4/29/2024,16,905632,Indonesia
Lamp,Semarang,4/29/2024,16,905632,Indonesia
Lamp,Semarang,4/29/2024,16,905632,Indonesia
Lamp,Semarang,4/29/2024,16,905632,Indonesia
Sofa,West Region,10/17/2024,11,928378,Singapura
Sofa,West Region,10/17/2024,11,928378,Singapura
Sofa,West Region,10/17/2024,11,928378,Singapura
Sofa,West Region,10/17/2024,11,928378,Singapura
Sofa,West Region,10/17/2024,11,928378,Singapura
Sofa,West Region,10/17/2024,11,928378,Singapura
Sofa,West Region,10/17/2024,11,928378,Singapura
Sofa,West Region,10/17/2024,11,928378,Singapura
Lamp,Medan,7/26/2023,19,861916,Indonesia
Lamp,Medan,7/26/2023,19,861916,Indonesia
Lamp,Medan,7/26/2023,19,861916,Indonesia
Lamp,Medan,7/26/2023,19,861916,Indonesia
Lamp,Medan,7/26/2023,19,861916,Indonesia
Water Dispenser,East Region,12/22/2023,16,414544,Singapura
Water Dispenser,East Region,12/22/2023,16,414544,Singapura
Water Dispenser,East Region,12/22/2023,16,414544,Singapura
Water Dispenser,East Region,12/22/2023,16,414544,Singapura
Water Dispenser,East Region,12/22/2023,16,414544,Singapura
Sofa,Yogyakarta,4/12/2024,4,238380,Indonesia
Sofa,Yogyakarta,4/12/2024,4,238380,Indonesia
Sofa,Yogyakarta,4/12/2024,4,238380,Indonesia
Sofa,Yogyakarta,4/12/2024,4,238380,Indonesia
Rice Cooker,Kuala Lumpur,4/10/2024,1,66060,Malaysia
Rice Cooker,Kuala Lumpur,4/10/2024,1,66060,Malaysia
Rice Cooker,Kuala Lumpur,4/10/2024,1,66060,Malaysia
Rice Cooker,Kuala Lumpur,4/10/2024,1,66060,Malaysia
Electric Kettle,Surabaya,2/17/2024,15,439380,Indonesia
Air Purifier,Surabaya,2/7/2023,3,288594,Indonesia
Electric Kettle,Melaka,6/2/2024,5,126255,Malaysia
Vacuum Cleaner,Makassar,9/28/2023,7,375956,Indonesia
Vacuum Cleaner,Makassar,9/28/2023,7,375956,Indonesia
Mixer,George Town,12/21/2023,4,258516,Malaysia
Mixer,George Town,12/21/2023,4,258516,Malaysia
Mixer,George Town,12/21/2023,4,258516,Malaysia
Mixer,George Town,12/21/2023,4,258516,Malaysia
Electric Kettle,Medan,6/3/2023,1,99084,Indonesia
Electric Kettle,Medan,6/3/2023,1,99084,Indonesia
Electric Kettle,Medan,6/3/2023,1,99084,Indonesia
Electric Kettle,Medan,6/3/2023,1,99084,Indonesia
Electric Kettle,Medan,6/3/2023,1,99084,Indonesia
Toaster,Medan,3/30/2023,18,460818,Indonesia
Toaster,Medan,3/30/2023,18,460818,Indonesia
Toaster,Medan,3/30/2023,18,460818,Indonesia
Toaster,Medan,3/30/2023,18,460818,Indonesia
Toaster,Medan,3/30/2023,18,460818,Indonesia
Curtains,Melaka,2/27/2024,10,121870,Malaysia
Coffee Maker,Jakarta,7/27/2023,7,96089,Indonesia
Coffee Maker,Jakarta,7/27/2023,7,96089,Indonesia
Coffee Maker,Jakarta,7/27/2023,7,96089,Indonesia
Coffee Maker,Jakarta,7/27/2023,7,96089,Indonesia
Coffee Maker,Jakarta,7/27/2023,7,96089,Indonesia
Refrigerator,Alor Setar,5/13/2024,1,37127,Malaysia
Refrigerator,Alor Setar,5/13/2024,1,37127,Malaysia
Refrigerator,Alor Setar,5/13/2024,1,37127,Malaysia
Chair,Kota Kinabalu,4/25/2024,14,1348424,Malaysia
Chair,Kota Kinabalu,4/25/2024,14,1348424,Malaysia
Chair,Kota Kinabalu,4/25/2024,14,1348424,Malaysia
Grill,Central Region,11/20/2023,9,88434,Singapura
Grill,Central Region,11/20/2023,9,88434,Singapura
Grill,Central Region,11/20/2023,9,88434,Singapura
Grill,Central Region,11/20/2023,9,88434,Singapura
Grill,Central Region,11/20/2023,9,88434,Singapura
Grill,Central Region,11/20/2023,9,88434,Singapura
Vacuum Cleaner,Kota Kinabalu,4/5/2024,6,490446,Malaysia
